"geo","time","mean_years_in_school_men_15_to_24_years"
"bdi",1970,1.92
"bdi",1971,1.97
"bdi",1972,2.02
"bdi",1973,2.07
"bdi",1974,2.12
"bdi",1975,2.18
"bdi",1976,2.23
"bdi",1977,2.29
"bdi",1978,2.34
"bdi",1979,2.4
"bdi",1980,2.46
"bdi",1981,2.52
"bdi",1982,2.59
"bdi",1983,2.65
"bdi",1984,2.71
"bdi",1985,2.78
"bdi",1986,2.85
"bdi",1987,2.92
"bdi",1988,2.99
"bdi",1989,3.06
"bdi",1990,3.14
"bdi",1991,3.21
"bdi",1992,3.29
"bdi",1993,3.37
"bdi",1994,3.45
"bdi",1995,3.54
"bdi",1996,3.62
"bdi",1997,3.71
"bdi",1998,3.8
"bdi",1999,3.89
"bdi",2000,3.98
"bdi",2001,4.08
"bdi",2002,4.17
"bdi",2003,4.27
"bdi",2004,4.37
"bdi",2005,4.47
"bdi",2006,4.57
"bdi",2007,4.67
"bdi",2008,4.78
"bdi",2009,4.89
"bdi",2010,4.99
"bdi",2011,5.1
"bdi",2012,5.21
"bdi",2013,5.33
"bdi",2014,5.44
"bdi",2015,5.56
"cod",1970,3.11
"cod",1971,3.18
"cod",1972,3.26
"cod",1973,3.33
"cod",1974,3.41
"cod",1975,3.48
"cod",1976,3.56
"cod",1977,3.64
"cod",1978,3.72
"cod",1979,3.81
"cod",1980,3.89
"cod",1981,3.98
"cod",1982,4.06
"cod",1983,4.15
"cod",1984,4.24
"cod",1985,4.33
"cod",1986,4.42
"cod",1987,4.52
"cod",1988,4.61
"cod",1989,4.71
"cod",1990,4.81
"cod",1991,4.91
"cod",1992,5.01
"cod",1993,5.11
"cod",1994,5.21
"cod",1995,5.32
"cod",1996,5.43
"cod",1997,5.54
"cod",1998,5.65
"cod",1999,5.76
"cod",2000,5.88
"cod",2001,6
"cod",2002,6.12
"cod",2003,6.24
"cod",2004,6.36
"cod",2005,6.48
"cod",2006,6.61
"cod",2007,6.73
"cod",2008,6.86
"cod",2009,6.99
"cod",2010,7.13
"cod",2011,7.26
"cod",2012,7.39
"cod",2013,7.53
"cod",2014,7.67
"cod",2015,7.81
"ken",1970,4.15
"ken",1971,4.25
"ken",1972,4.34
"ken",1973,4.44
"ken",1974,4.54
"ken",1975,4.64
"ken",1976,4.74
"ken",1977,4.85
"ken",1978,4.95
"ken",1979,5.06
"ken",1980,5.16
"ken",1981,5.27
"ken",1982,5.37
"ken",1983,5.48
"ken",1984,5.59
"ken",1985,5.69
"ken",1986,5.8
"ken",1987,5.91
"ken",1988,6.01
"ken",1989,6.12
"ken",1990,6.23
"ken",1991,6.33
"ken",1992,6.44
"ken",1993,6.54
"ken",1994,6.65
"ken",1995,6.75
"ken",1996,6.85
"ken",1997,6.95
"ken",1998,7.05
"ken",1999,7.16
"ken",2000,7.26
"ken",2001,7.37
"ken",2002,7.48
"ken",2003,7.59
"ken",2004,7.7
"ken",2005,7.81
"ken",2006,7.93
"ken",2007,8.05
"ken",2008,8.17
"ken",2009,8.29
"ken",2010,8.41
"ken",2011,8.54
"ken",2012,8.67
"ken",2013,8.8
"ken",2014,8.93
"ken",2015,9.06
"rwa",1970,2.28
"rwa",1971,2.33
"rwa",1972,2.39
"rwa",1973,2.45
"rwa",1974,2.51
"rwa",1975,2.57
"rwa",1976,2.63
"rwa",1977,2.69
"rwa",1978,2.75
"rwa",1979,2.82
"rwa",1980,2.88
"rwa",1981,2.95
"rwa",1982,3.01
"rwa",1983,3.08
"rwa",1984,3.15
"rwa",1985,3.22
"rwa",1986,3.29
"rwa",1987,3.36
"rwa",1988,3.43
"rwa",1989,3.5
"rwa",1990,3.57
"rwa",1991,3.65
"rwa",1992,3.72
"rwa",1993,3.79
"rwa",1994,3.87
"rwa",1995,3.94
"rwa",1996,4.02
"rwa",1997,4.09
"rwa",1998,4.17
"rwa",1999,4.25
"rwa",2000,4.34
"rwa",2001,4.42
"rwa",2002,4.51
"rwa",2003,4.6
"rwa",2004,4.69
"rwa",2005,4.78
"rwa",2006,4.87
"rwa",2007,4.97
"rwa",2008,5.07
"rwa",2009,5.17
"rwa",2010,5.27
"rwa",2011,5.38
"rwa",2012,5.49
"rwa",2013,5.6
"rwa",2014,5.71
"rwa",2015,5.82
"ssd",1970,0.97
"ssd",1971,1
"ssd",1972,1.02
"ssd",1973,1.05
"ssd",1974,1.08
"ssd",1975,1.11
"ssd",1976,1.14
"ssd",1977,1.17
"ssd",1978,1.2
"ssd",1979,1.23
"ssd",1980,1.26
"ssd",1981,1.3
"ssd",1982,1.33
"ssd",1983,1.36
"ssd",1984,1.4
"ssd",1985,1.44
"ssd",1986,1.47
"ssd",1987,1.51
"ssd",1988,1.55
"ssd",1989,1.59
"ssd",1990,1.63
"ssd",1991,1.67
"ssd",1992,1.71
"ssd",1993,1.76
"ssd",1994,1.8
"ssd",1995,1.85
"ssd",1996,1.9
"ssd",1997,1.94
"ssd",1998,1.99
"ssd",1999,2.04
"ssd",2000,2.1
"ssd",2001,2.15
"ssd",2002,2.2
"ssd",2003,2.26
"ssd",2004,2.31
"ssd",2005,2.37
"ssd",2006,2.43
"ssd",2007,2.49
"ssd",2008,2.55
"ssd",2009,2.62
"ssd",2010,2.68
"ssd",2011,2.75
"ssd",2012,2.81
"ssd",2013,2.88
"ssd",2014,2.95
"ssd",2015,3.02
"tza",1970,3.23
"tza",1971,3.3
"tza",1972,3.38
"tza",1973,3.46
"tza",1974,3.54
"tza",1975,3.62
"tza",1976,3.7
"tza",1977,3.78
"tza",1978,3.87
"tza",1979,3.95
"tza",1980,4.04
"tza",1981,4.13
"tza",1982,4.21
"tza",1983,4.3
"tza",1984,4.39
"tza",1985,4.49
"tza",1986,4.58
"tza",1987,4.67
"tza",1988,4.77
"tza",1989,4.86
"tza",1990,4.95
"tza",1991,5.05
"tza",1992,5.15
"tza",1993,5.24
"tza",1994,5.34
"tza",1995,5.44
"tza",1996,5.53
"tza",1997,5.63
"tza",1998,5.72
"tza",1999,5.82
"tza",2000,5.93
"tza",2001,6.03
"tza",2002,6.13
"tza",2003,6.24
"tza",2004,6.35
"tza",2005,6.46
"tza",2006,6.57
"tza",2007,6.69
"tza",2008,6.8
"tza",2009,6.92
"tza",2010,7.04
"tza",2011,7.16
"tza",2012,7.29
"tza",2013,7.41
"tza",2014,7.54
"tza",2015,7.67
"uga",1970,3.18
"uga",1971,3.25
"uga",1972,3.33
"uga",1973,3.4
"uga",1974,3.48
"uga",1975,3.56
"uga",1976,3.64
"uga",1977,3.73
"uga",1978,3.81
"uga",1979,3.9
"uga",1980,3.98
"uga",1981,4.07
"uga",1982,4.16
"uga",1983,4.25
"uga",1984,4.34
"uga",1985,4.43
"uga",1986,4.53
"uga",1987,4.62
"uga",1988,4.72
"uga",1989,4.81
"uga",1990,4.91
"uga",1991,5.01
"uga",1992,5.11
"uga",1993,5.21
"uga",1994,5.31
"uga",1995,5.42
"uga",1996,5.52
"uga",1997,5.62
"uga",1998,5.73
"uga",1999,5.83
"uga",2000,5.94
"uga",2001,6.05
"uga",2002,6.16
"uga",2003,6.28
"uga",2004,6.39
"uga",2005,6.51
"uga",2006,6.63
"uga",2007,6.75
"uga",2008,6.87
"uga",2009,6.99
"uga",2010,7.11
"uga",2011,7.24
"uga",2012,7.36
"uga",2013,7.49
"uga",2014,7.62
"uga",2015,7.75
