"geo","time","military_expenditure_percent_of_gdp"
"bdi",1962,3.94379
"bdi",1963,0.43478
"bdi",1964,0.44562
"bdi",1965,1.35234
"bdi",1966,1.38229
"bdi",1967,1.33261
"bdi",1968,1.41422
"bdi",1969,1.75449
"bdi",1971,1.03241
"bdi",1972,1.45867
"bdi",1973,1.94621
"bdi",1974,2.22508
"bdi",1975,2.05681
"bdi",1976,2.2236
"bdi",1977,2.53338
"bdi",1978,2.79637
"bdi",1979,2.64372
"bdi",1980,2.9188
"bdi",1981,3.03033
"bdi",1982,3.50702
"bdi",1983,3.10481
"bdi",1984,2.9754
"bdi",1985,2.75117
"bdi",1986,2.80541
"bdi",1987,2.64914
"bdi",1988,3.14525
"bdi",1989,3.34952
"bdi",1990,3.44871
"bdi",1991,3.78627
"bdi",1992,3.59564
"bdi",1993,3.72028
"bdi",1994,3.92111
"bdi",1995,4.20907
"bdi",1996,5.85688
"bdi",1997,6.35965
"bdi",1998,6.57227
"bdi",1999,6.25764
"bdi",2000,5.96823
"bdi",2001,8.03664
"bdi",2002,7.15013
"bdi",2003,7.29044
"bdi",2004,6.59999
"bdi",2005,4.43619
"bdi",2006,3.51172
"bdi",2007,3.4146
"bdi",2008,2.72089
"bdi",2012,2.53359
"bdi",2013,2.48241
"bdi",2014,2.18149
"bdi",2015,2.33428
"bdi",2016,2.24286
"bdi",2017,1.98315
"cod",1964,4e-05
"cod",1966,4e-05
"cod",1968,4e-05
"cod",1969,4e-05
"cod",1970,6e-05
"cod",1971,5e-05
"cod",1972,4e-05
"cod",1973,3e-05
"cod",1974,5e-05
"cod",1975,5e-05
"cod",1976,3e-05
"cod",1977,3e-05
"cod",1978,3e-05
"cod",1979,3e-05
"cod",1993,5.22609
"cod",1996,1.5468
"cod",1997,1.41085
"cod",1998,0.42845
"cod",1999,1.15815
"cod",2000,0.22026
"cod",2003,0.88065
"cod",2004,1.33661
"cod",2005,1.38079
"cod",2006,1.43463
"cod",2007,1.25408
"cod",2008,0.83306
"cod",2009,0.6701
"cod",2010,0.88989
"cod",2011,0.9716
"cod",2012,1.20667
"cod",2013,1.14618
"cod",2014,0.95025
"cod",2015,1.27815
"cod",2016,0.94869
"cod",2017,0.69877
"ken",1963,0.20649
"ken",1964,0.58989
"ken",1965,0.99033
"ken",1966,1.13327
"ken",1967,1.30499
"ken",1968,1.21834
"ken",1969,1.08007
"ken",1970,1.05748
"ken",1971,1.22772
"ken",1972,1.54181
"ken",1973,1.65928
"ken",1974,1.777
"ken",1975,1.8789
"ken",1976,2.48474
"ken",1977,3.74018
"ken",1978,5.19929
"ken",1979,5.50161
"ken",1980,4.51532
"ken",1981,4.22532
"ken",1982,4.57278
"ken",1983,4.19523
"ken",1984,3.47691
"ken",1985,2.37576
"ken",1986,2.50358
"ken",1987,3.13374
"ken",1988,2.94555
"ken",1989,2.74085
"ken",1990,2.88821
"ken",1991,2.35426
"ken",1992,1.90075
"ken",1993,1.83774
"ken",1994,1.64125
"ken",1995,1.64672
"ken",1996,1.41795
"ken",1997,1.34064
"ken",1998,1.22012
"ken",1999,1.18697
"ken",2000,1.31374
"ken",2001,1.50475
"ken",2002,1.63241
"ken",2003,1.6501
"ken",2004,1.61419
"ken",2005,1.69059
"ken",2006,1.45518
"ken",2007,1.54791
"ken",2008,1.61585
"ken",2009,1.56145
"ken",2010,1.55514
"ken",2011,1.54142
"ken",2012,1.66647
"ken",2013,1.56179
"ken",2014,1.33404
"ken",2015,1.33074
"ken",2016,1.33088
"ken",2017,1.23071
"rwa",1973,1.88489
"rwa",1974,1.47154
"rwa",1975,1.62879
"rwa",1976,1.61389
"rwa",1977,2.15223
"rwa",1978,1.58816
"rwa",1979,1.74743
"rwa",1980,1.87685
"rwa",1981,2.03915
"rwa",1982,2.00306
"rwa",1983,1.89514
"rwa",1984,1.60402
"rwa",1985,1.58837
"rwa",1986,1.79553
"rwa",1987,1.67523
"rwa",1988,1.59426
"rwa",1989,1.75376
"rwa",1990,3.72917
"rwa",1991,5.50917
"rwa",1992,4.2906
"rwa",1993,4.53638
"rwa",1994,3.43788
"rwa",1995,0.6078
"rwa",1996,0.87225
"rwa",1997,0.85442
"rwa",1998,0.91644
"rwa",1999,0.85254
"rwa",2000,0.71734
"rwa",2001,0.7048
"rwa",2002,0.65364
"rwa",2003,0.60957
"rwa",2004,0.56095
"rwa",2005,0.54652
"rwa",2006,0.61509
"rwa",2007,0.56209
"rwa",2008,0.61723
"rwa",2009,0.70708
"rwa",2010,0.67839
"rwa",2011,0.66718
"rwa",2012,0.67481
"rwa",2013,0.72204
"rwa",2014,0.80096
"rwa",2015,0.92758
"rwa",2016,0.97769
"rwa",2017,0.97452
"ssd",2008,5.76129
"ssd",2009,4.96846
"ssd",2010,4.14063
"ssd",2011,5.90526
"ssd",2012,9.50874
"ssd",2013,7.17097
"ssd",2014,8.10342
"ssd",2015,8.74845
"ssd",2016,3.80893
"ssd",2017,2.03735
"tza",1967,1.42312
"tza",1968,1.4732
"tza",1969,1.73498
"tza",1970,2.29998
"tza",1971,3.09762
"tza",1972,3.43269
"tza",1973,4.17462
"tza",1974,5.35513
"tza",1975,5.36005
"tza",1976,4.68897
"tza",1977,5.47665
"tza",1978,10.10911
"tza",1979,8.5026
"tza",1980,4.52063
"tza",1981,5.58429
"tza",1982,5.4976
"tza",1983,5.41432
"tza",1984,5.24756
"tza",1985,5.38708
"tza",1986,5.74462
"tza",1987,3.15188
"tza",1988,2.44754
"tza",1989,2.38264
"tza",1990,2.04648
"tza",1991,2.18178
"tza",1992,2.10604
"tza",1993,1.37928
"tza",1994,1.29411
"tza",1995,1.62721
"tza",1996,1.55535
"tza",1997,1.54354
"tza",1998,1.60197
"tza",1999,1.48766
"tza",2000,1.48726
"tza",2001,1.4516
"tza",2002,1.3026
"tza",2003,1.07431
"tza",2004,0.99461
"tza",2005,0.82394
"tza",2006,0.79212
"tza",2007,0.77304
"tza",2008,0.70833
"tza",2009,0.76809
"tza",2010,0.90892
"tza",2011,0.91615
"tza",2012,0.92695
"tza",2013,1.0001
"tza",2014,1.05252
"tza",2015,1.13324
"tza",2016,1.14214
"tza",2017,1.13728
"uga",1962,0.11329
"uga",1963,0.36932
"uga",1964,0.65116
"uga",1965,1.13294
"uga",1966,1.43724
"uga",1967,1.62348
"uga",1968,1.79408
"uga",1969,1.82458
"uga",1970,1.97303
"uga",1971,3.46866
"uga",1972,4.06217
"uga",1973,3.49578
"uga",1974,3.62484
"uga",1975,2.82293
"uga",1976,3.18528
"uga",1977,2.03607
"uga",1978,1.96665
"uga",1979,1.6872
"uga",1980,2.21723
"uga",1981,1.88804
"uga",1982,1.97598
"uga",1983,2.21854
"uga",1984,2.6267
"uga",1985,2.66173
"uga",1986,2.90592
"uga",1987,2.586
"uga",1988,2.45988
"uga",1989,2.72998
"uga",1990,2.96853
"uga",1991,2.508
"uga",1992,1.65918
"uga",1993,1.93137
"uga",1994,2.01578
"uga",1995,2.10151
"uga",1996,2.21091
"uga",1997,2.11671
"uga",1998,2.44236
"uga",1999,2.65573
"uga",2000,2.48144
"uga",2001,2.32165
"uga",2002,2.34346
"uga",2003,2.40575
"uga",2004,2.53965
"uga",2005,2.40749
"uga",2006,2.20244
"uga",2007,2.0485
"uga",2008,1.46663
"uga",2009,1.54073
"uga",2010,3.07368
"uga",2011,2.93953
"uga",2012,1.73095
"uga",2013,1.65548
"uga",2014,1.64253
"uga",2015,1.91525
"uga",2016,2.06087
"uga",2017,1.67507
